Model,Task,Metric,N_seeds,Mean,Std
MARK,clim_retrieve,f1,10,0.8551,0.0109
MARK,climate_commitments_actions,f1,10,0.7176,0.0115
MARK,climate_detection,f1,10,0.9319,0.0032
MARK,climate_specificity,f1,10,0.6894,0.0171
MARK,climate_sentiment,macro_f1,10,0.7738,0.0104
MARK,environmental_claims,f1,10,0.8235,0.0000
MARK,netzero_reduction,macro_f1,10,0.9847,0.0086
MARK,tcfd_recommendations,macro_f1,10,0.5900,0.0090
MARK,water_forest_biodiversity_nature,macro_f1,10,0.9702,0.0021
MARK,wximpactbench,macro_f1,10,0.2608,0.0341
MARK+SYN,clim_retrieve,f1,10,0.8612,0.0198
MARK+SYN,climate_commitments_actions,f1,10,0.6789,0.0143
MARK+SYN,climate_detection,f1,10,0.9397,0.0065
MARK+SYN,climate_specificity,f1,10,0.6765,0.0097
MARK+SYN,climate_sentiment,macro_f1,10,0.7695,0.0210
MARK+SYN,environmental_claims,f1,10,0.8345,0.0000
MARK+SYN,netzero_reduction,macro_f1,10,0.9822,0.0092
MARK+SYN,tcfd_recommendations,macro_f1,10,0.6143,0.0054
MARK+SYN,water_forest_biodiversity_nature,macro_f1,10,0.9663,0.0050
MARK+SYN,wximpactbench,macro_f1,10,0.2476,0.0356
MARK+SYN+LRD,clim_retrieve,f1,10,0.8324,0.0428
MARK+SYN+LRD,climate_commitments_actions,f1,10,0.6608,0.0100
MARK+SYN+LRD,climate_detection,f1,10,0.9323,0.0084
MARK+SYN+LRD,climate_specificity,f1,10,0.6950,0.0109
MARK+SYN+LRD,climate_sentiment,macro_f1,10,0.7805,0.0054
MARK+SYN+LRD,environmental_claims,f1,10,0.8529,0.0000
MARK+SYN+LRD,netzero_reduction,macro_f1,10,0.9885,0.0017
MARK+SYN+LRD,tcfd_recommendations,macro_f1,10,0.6128,0.0102
MARK+SYN+LRD,water_forest_biodiversity_nature,macro_f1,10,0.9618,0.0038
MARK+SYN+LRD,wximpactbench,macro_f1,10,0.2434,0.0515
MARK+LRD,clim_retrieve,f1,10,0.8106,0.1277
MARK+LRD,climate_commitments_actions,f1,10,0.6870,0.0225
MARK+LRD,climate_detection,f1,10,0.9364,0.0020
MARK+LRD,climate_specificity,f1,10,0.6733,0.0114
MARK+LRD,climate_sentiment,macro_f1,10,0.7714,0.0077
MARK+LRD,environmental_claims,f1,10,0.8254,0.0000
MARK+LRD,netzero_reduction,macro_f1,10,0.9797,0.0127
MARK+LRD,tcfd_recommendations,macro_f1,10,0.6131,0.0056
MARK+LRD,water_forest_biodiversity_nature,macro_f1,10,0.9694,0.0029
MARK+LRD,wximpactbench,macro_f1,10,0.2524,0.0340
